nombre,legajo,edad
Valida De Angelo,3136,36
Alia Edmonds,6191,20
Ceciley Snoddin,9088,45
Eli Copson,3289,44
Monroe Colclough,3775,31
Lorant Banisch,9129,22
Pearce Fahrenbacher,3444,27
Donna Whitehorne,3869,25
Sisely Lydster,7701,33
Teriann McArte,1559,21
Ryon Bente,6806,37
Kiri Mocquer,1884,32
Ozzie Innocenti,8957,23
Ceil Writtle,4994,18
Drucill Temperley,1774,40
Juline Stodd,8291,18
Kent Sholl,7598,18
Irvine Goodings,6798,37
Craggy Mival,9783,39
Andie Dungate,2359,43
Sonja Wheatman,8574,49
